Order_ID,Order_Date,Category,Sub_Category,Region,Segment,Sales,Quantity,Profit,Discount
ORD-11639,2023-01-23,Office Supplies,Supplies,South,Corporate,232.87,6,49.55,0.2
ORD-11123,2023-01-23,Furniture,Furnishings,West,Consumer,68.81,1,4.33,0.1
ORD-12118,2023-01-23,Office Supplies,Paper,North,Consumer,73.18,2,12.69,0.2
ORD-11572,2023-01-23,Office Supplies,Supplies,North,Consumer,258.13,7,42.07,0.15
ORD-11567,2023-01-24,Office Supplies,Art,West,Consumer,357.44,5,108.78,0.0
ORD-11372,2023-01-24,Office Supplies,Storage,North,Home Office,63.59,3,22.06,0.0
ORD-10931,2023-01-24,Office Supplies,Storage,East,Home Office,158.53,5,22.86,0.15
ORD-10519,2023-01-24,Technology,Phones,North,Consumer,773.71,2,45.36,0.0
ORD-10428,2023-01-26,Office Supplies,Paper,East,Consumer,107.54,3,23.84,0.15
ORD-11389,2023-01-26,Technology,Copiers,West,Consumer,679.77,4,145.03,0.15
ORD-10986,2023-01-28,Technology,Phones,North,Consumer,923.0,5,311.17,0.0
ORD-10792,2023-01-28,Furniture,Furnishings,East,Home Office,2796.93,5,85.78,0.2
ORD-10117,2023-01-29,Office Supplies,Storage,North,Home Office,39.51,1,6.01,0.1
ORD-11968,2023-01-29,Office Supplies,Storage,North,Consumer,147.12,2,7.91,0.0
ORD-10921,2023-01-29,Office Supplies,Paper,West,Consumer,168.79,3,80.01,0.0
ORD-11301,2023-01-29,Office Supplies,Paper,South,Consumer,109.86,7,11.4,0.15
ORD-10423,2023-01-30,Office Supplies,Binders,South,Consumer,158.68,5,38.24,0.1
ORD-12125,2023-01-30,Technology,Phones,West,Home Office,368.44,1,66.04,0.0
ORD-12033,2023-01-31,Office Supplies,Storage,South,Consumer,481.58,7,44.63,0.0
ORD-12102,2023-01-31,Office Supplies,Supplies,East,Consumer,109.31,3,11.86,0.0
ORD-11496,2023-02-01,Office Supplies,Paper,West,Consumer,304.63,5,59.17,0.1
ORD-11274,2023-02-01,Office Supplies,Storage,North,Home Office,18.27,6,-0.81,0.0
ORD-10939,2023-02-01,Technology,Phones,South,Consumer,2004.63,7,350.86,0.0
ORD-10397,2023-02-01,Furniture,Bookcases,North,Corporate,368.08,2,58.56,0.1
ORD-11608,2023-02-01,Technology,Copiers,North,Consumer,3558.45,7,183.68,0.0
ORD-10850,2023-02-02,Office Supplies,Art,East,Corporate,120.61,1,25.99,0.1
ORD-10868,2023-02-02,Office Supplies,Storage,North,Consumer,319.67,3,42.08,0.0
ORD-11451,2023-02-02,Office Supplies,Supplies,South,Corporate,703.95,6,127.03,0.3
ORD-12082,2023-02-03,Technology,Accessories,West,Consumer,1536.88,3,37.41,0.1
ORD-10060,2023-02-03,Furniture,Chairs,East,Corporate,278.73,2,1.11,0.1
ORD-11098,2023-02-03,Technology,Machines,West,Consumer,1251.94,3,200.25,0.15
ORD-11229,2023-02-03,Office Supplies,Binders,North,Consumer,410.92,6,105.52,0.15
ORD-11108,2023-02-04,Furniture,Chairs,North,Consumer,283.48,3,-51.99,0.0
ORD-10250,2023-02-04,Office Supplies,Binders,South,Consumer,227.43,5,58.07,0.0
ORD-10494,2023-02-04,Office Supplies,Binders,North,Corporate,384.79,5,41.7,0.0
ORD-11258,2023-02-04,Furniture,Bookcases,South,Home Office,198.21,1,-44.4,0.15
ORD-12078,2023-02-05,Office Supplies,Storage,East,Corporate,161.91,2,27.53,0.2
ORD-10637,2023-02-05,Office Supplies,Storage,South,Home Office,52.79,1,10.67,0.0
ORD-10393,2023-02-05,Office Supplies,Art,East,Consumer,338.5,6,44.48,0.2
ORD-11252,2023-02-05,Office Supplies,Art,North,Consumer,456.21,6,41.7,0.2
ORD-11786,2023-02-07,Office Supplies,Art,West,Corporate,15.0,1,3.96,0.2
ORD-11158,2023-02-07,Office Supplies,Paper,West,Consumer,31.55,4,7.2,0.2
ORD-10356,2023-02-08,Technology,Machines,North,Home Office,395.23,1,56.27,0.0
ORD-10719,2023-02-08,Furniture,Bookcases,South,Consumer,478.92,4,131.96,0.2
ORD-10837,2023-02-08,Office Supplies,Paper,West,Home Office,278.72,4,16.3,0.0
ORD-11293,2023-02-09,Office Supplies,Paper,South,Consumer,152.42,2,46.26,0.15
ORD-10368,2023-02-09,Office Supplies,Storage,West,Corporate,142.39,4,22.53,0.0
ORD-11299,2023-02-09,Furniture,Bookcases,East,Corporate,192.19,1,-3.88,0.15
ORD-10373,2023-02-09,Technology,Copiers,South,Corporate,1020.17,2,196.71,0.1
ORD-10831,2023-02-10,Office Supplies,Storage,North,Corporate,261.12,5,39.63,0.3
ORD-10055,2023-02-10,Office Supplies,Paper,South,Corporate,32.59,1,1.76,0.0
ORD-11110,2023-02-11,Technology,Phones,North,Consumer,2923.45,6,411.59,0.2
ORD-11413,2023-02-12,Furniture,Tables,West,Corporate,797.72,6,13.87,0.1
ORD-11577,2023-02-12,Furniture,Chairs,West,Consumer,2450.13,7,-162.35,0.2
ORD-11981,2023-02-12,Furniture,Tables,South,Consumer,984.49,7,-89.45,0.0
ORD-10190,2023-02-12,Office Supplies,Art,North,Corporate,61.92,3,6.87,0.1
ORD-10468,2023-02-12,Technology,Copiers,South,Consumer,898.33,3,122.23,0.1
ORD-11402,2023-02-12,Technology,Machines,West,Home Office,1139.52,4,194.22,0.2
ORD-11074,2023-02-13,Office Supplies,Binders,West,Consumer,180.29,3,19.97,0.1
ORD-12085,2023-02-13,Office Supplies,Binders,North,Home Office,25.61,2,5.17,0.2
ORD-12051,2023-02-13,Technology,Accessories,North,Home Office,1849.35,5,466.39,0.2
ORD-10538,2023-02-13,Office Supplies,Paper,East,Home Office,314.35,5,83.33,0.0
ORD-10604,2023-02-14,Office Supplies,Paper,West,Consumer,413.3,6,89.56,0.2
ORD-11353,2023-02-16,Furniture,Furnishings,North,Corporate,206.19,1,-0.85,0.3
ORD-10772,2023-02-16,Office Supplies,Storage,South,Corporate,226.24,4,41.21,0.1
ORD-10122,2023-02-16,Technology,Machines,East,Consumer,273.33,1,131.25,0.0
ORD-11599,2023-02-16,Technology,Phones,South,Corporate,1455.16,5,295.54,0.1
ORD-10824,2023-02-16,Office Supplies,Supplies,South,Home Office,32.86,1,7.83,0.2
ORD-11182,2023-02-16,Office Supplies,Storage,North,Corporate,33.3,1,2.33,0.3
ORD-11175,2023-02-17,Technology,Copiers,South,Home Office,230.92,1,25.45,0.0
ORD-10299,2023-02-18,Furniture,Bookcases,North,Corporate,721.69,5,-129.79,0.15
ORD-10221,2023-02-18,Furniture,Chairs,East,Consumer,391.95,2,28.79,0.0
ORD-10256,2023-02-18,Office Supplies,Binders,East,Corporate,189.99,5,32.33,0.1
ORD-11381,2023-02-18,Furniture,Bookcases,West,Corporate,479.11,5,155.72,0.0
ORD-11457,2023-02-18,Office Supplies,Art,West,Corporate,92.56,3,6.58,0.2
ORD-12057,2023-02-19,Technology,Copiers,North,Home Office,828.15,4,104.22,0.3
ORD-11911,2023-02-20,Office Supplies,Paper,East,Home Office,120.75,6,2.66,0.3
ORD-10739,2023-02-20,Office Supplies,Binders,East,Consumer,138.7,3,3.48,0.1
ORD-12072,2023-02-21,Furniture,Chairs,South,Corporate,468.01,5,-64.64,0.0
ORD-12089,2023-02-21,Office Supplies,Art,North,Corporate,130.25,6,44.58,0.0
ORD-11724,2023-02-21,Office Supplies,Binders,East,Consumer,140.31,7,48.0,0.0
ORD-11078,2023-02-21,Office Supplies,Binders,North,Consumer,343.79,6,59.21,0.3
ORD-12040,2023-02-21,Office Supplies,Binders,South,Home Office,43.57,1,8.13,0.1
ORD-11230,2023-02-22,Furniture,Bookcases,West,Consumer,1108.41,5,-234.93,0.2
ORD-11072,2023-02-22,Technology,Phones,East,Corporate,1042.71,2,488.54,0.15
ORD-11687,2023-02-22,Office Supplies,Binders,East,Corporate,440.58,5,153.06,0.0
ORD-11437,2023-02-22,Office Supplies,Supplies,West,Corporate,112.15,3,32.21,0.0
ORD-11007,2023-02-22,Technology,Machines,North,Corporate,3027.43,7,659.43,0.2
ORD-10465,2023-02-23,Furniture,Bookcases,West,Consumer,2521.41,7,253.91,0.0
ORD-11852,2023-02-24,Furniture,Furnishings,East,Consumer,1101.83,5,131.95,0.2
ORD-12181,2023-02-25,Furniture,Tables,North,Corporate,354.87,2,47.54,0.1
ORD-10851,2023-02-25,Furniture,Bookcases,South,Consumer,903.0,5,60.94,0.0
ORD-10742,2023-02-25,Furniture,Bookcases,North,Corporate,313.84,2,-57.69,0.0
ORD-11996,2023-02-25,Office Supplies,Storage,South,Home Office,24.48,1,7.49,0.0
ORD-11507,2023-02-25,Furniture,Chairs,North,Home Office,1461.56,6,241.52,0.2
ORD-11011,2023-02-26,Technology,Phones,East,Consumer,1617.52,3,-75.98,0.0
ORD-10366,2023-02-26,Office Supplies,Storage,East,Consumer,134.48,4,33.79,0.2
ORD-10589,2023-02-27,Technology,Phones,East,Consumer,1633.99,6,679.25,0.1
ORD-10413,2023-02-27,Technology,Machines,East,Consumer,2799.17,4,307.13,0.1
ORD-12134,2023-02-28,Technology,Machines,South,Home Office,433.31,1,157.33,0.1
ORD-11160,2023-02-28,Furniture,Chairs,South,Home Office,807.84,6,-45.65,0.1
ORD-11824,2023-03-01,Office Supplies,Art,West,Consumer,169.79,5,38.83,0.0
ORD-12054,2023-03-01,Furniture,Chairs,East,Consumer,2063.07,7,368.86,0.0
ORD-10812,2023-03-01,Furniture,Tables,West,Corporate,204.94,1,11.29,0.1
ORD-10457,2023-03-01,Furniture,Tables,South,Consumer,1706.4,6,368.58,0.0
ORD-11051,2023-03-01,Office Supplies,Storage,South,Home Office,68.96,1,18.75,0.0
ORD-11973,2023-03-01,Furniture,Tables,West,Home Office,1123.66,7,126.16,0.1
ORD-10375,2023-03-02,Office Supplies,Storage,West,Corporate,35.12,2,4.58,0.0
ORD-10045,2023-03-03,Technology,Phones,West,Home Office,287.96,3,49.19,0.0
ORD-10712,2023-03-03,Technology,Accessories,West,Corporate,1379.07,6,366.79,0.1
ORD-11694,2023-03-03,Furniture,Tables,South,Home Office,1697.23,4,75.92,0.0
ORD-10369,2023-03-03,Office Supplies,Storage,West,Consumer,62.39,2,17.25,0.15
ORD-11013,2023-03-03,Technology,Accessories,North,Consumer,4514.76,7,149.3,0.2
ORD-11068,2023-03-03,Furniture,Chairs,West,Home Office,558.83,4,-13.72,0.1
ORD-11844,2023-03-04,Furniture,Bookcases,South,Corporate,418.59,3,34.46,0.0
ORD-10619,2023-03-05,Furniture,Bookcases,South,Consumer,324.71,2,-68.48,0.0
ORD-10385,2023-03-05,Office Supplies,Binders,East,Consumer,191.51,6,59.95,0.1
ORD-12160,2023-03-05,Furniture,Bookcases,West,Corporate,554.51,2,61.72,0.0
ORD-11480,2023-03-06,Office Supplies,Supplies,South,Consumer,110.48,7,21.28,0.1
ORD-10744,2023-03-06,Furniture,Tables,West,Corporate,352.89,4,106.0,0.15
ORD-11499,2023-03-06,Technology,Phones,North,Consumer,1830.48,6,389.59,0.0
ORD-10342,2023-03-06,Office Supplies,Art,West,Home Office,210.97,3,78.1,0.15
ORD-11132,2023-03-06,Office Supplies,Supplies,West,Consumer,118.69,3,19.57,0.15
ORD-10809,2023-03-06,Furniture,Bookcases,North,Corporate,363.17,2,42.7,0.0
ORD-10493,2023-03-07,Furniture,Tables,West,Corporate,526.45,4,43.02,0.0
ORD-11690,2023-03-07,Technology,Copiers,West,Consumer,346.68,1,73.1,0.1
ORD-10242,2023-03-07,Office Supplies,Binders,South,Corporate,30.33,1,6.48,0.2
ORD-11070,2023-03-07,Technology,Copiers,East,Corporate,574.55,3,135.6,0.2
ORD-11427,2023-03-08,Furniture,Chairs,North,Consumer,922.54,5,66.92,0.0
ORD-11234,2023-03-09,Office Supplies,Supplies,West,Consumer,57.16,1,7.3,0.3
ORD-10575,2023-03-09,Furniture,Furnishings,West,Corporate,357.98,4,-12.25,0.1
ORD-10231,2023-03-09,Office Supplies,Supplies,South,Corporate,192.87,5,12.36,0.15
ORD-10439,2023-03-10,Furniture,Tables,North,Home Office,1027.68,4,-236.85,0.0
ORD-11001,2023-03-10,Office Supplies,Binders,South,Consumer,11.54,1,2.77,0.15
ORD-11516,2023-03-11,Furniture,Bookcases,East,Consumer,1445.35,4,508.07,0.0
ORD-11319,2023-03-11,Furniture,Furnishings,West,Consumer,428.4,2,74.09,0.2
ORD-12025,2023-03-11,Furniture,Furnishings,West,Home Office,791.9,3,105.49,0.0
ORD-10420,2023-03-11,Office Supplies,Art,North,Consumer,134.34,4,35.25,0.1
ORD-11420,2023-03-12,Technology,Phones,North,Consumer,2594.02,6,748.5,0.1
ORD-11539,2023-03-12,Technology,Machines,South,Consumer,912.71,3,119.71,0.0
ORD-12062,2023-03-12,Furniture,Tables,South,Consumer,376.97,1,-24.21,0.0
ORD-11311,2023-03-12,Technology,Phones,South,Home Office,1529.4,3,506.97,0.1
ORD-12126,2023-03-13,Furniture,Furnishings,South,Consumer,259.66,2,3.59,0.15
ORD-10800,2023-03-14,Furniture,Tables,South,Consumer,1042.24,6,-96.81,0.0
ORD-11722,2023-03-15,Office Supplies,Paper,West,Corporate,243.64,4,58.49,0.0
ORD-10834,2023-03-15,Office Supplies,Supplies,South,Corporate,139.45,4,30.95,0.0
ORD-10642,2023-03-15,Office Supplies,Binders,West,Home Office,176.26,6,63.36,0.2
ORD-10605,2023-03-15,Office Supplies,Storage,North,Consumer,30.36,1,5.93,0.1
ORD-11868,2023-03-15,Office Supplies,Art,South,Home Office,316.27,7,43.43,0.0
ORD-12075,2023-03-16,Office Supplies,Binders,South,Corporate,315.06,6,25.51,0.1
ORD-12130,2023-03-16,Furniture,Furnishings,East,Consumer,1367.96,6,39.53,0.3
ORD-11474,2023-03-17,Technology,Accessories,North,Home Office,1743.19,2,35.68,0.15
ORD-10773,2023-03-17,Office Supplies,Supplies,East,Consumer,90.02,2,26.01,0.0
ORD-12024,2023-03-18,Office Supplies,Art,East,Home Office,14.97,1,2.64,0.3
ORD-11901,2023-03-18,Technology,Machines,East,Corporate,1371.28,3,231.74,0.0
ORD-12006,2023-03-18,Technology,Accessories,East,Consumer,1337.23,6,162.76,0.1
ORD-10774,2023-03-18,Office Supplies,Storage,South,Home Office,307.69,6,7.29,0.0
ORD-12183,2023-03-19,Technology,Copiers,West,Corporate,1501.15,5,348.65,0.0
ORD-11207,2023-03-19,Technology,Accessories,West,Corporate,2284.55,7,667.24,0.1
ORD-11670,2023-03-19,Office Supplies,Art,West,Consumer,32.53,1,9.85,0.0
ORD-12108,2023-03-20,Office Supplies,Art,North,Consumer,20.1,1,3.51,0.2
ORD-11820,2023-03-21,Technology,Phones,East,Home Office,846.22,3,148.41,0.1
ORD-11642,2023-03-21,Office Supplies,Art,West,Consumer,26.52,1,0.88,0.2
ORD-11504,2023-03-21,Technology,Copiers,South,Consumer,522.4,2,130.53,0.2
ORD-10914,2023-03-21,Office Supplies,Paper,South,Consumer,163.71,4,30.86,0.0
ORD-11520,2023-03-22,Technology,Phones,North,Consumer,2754.9,5,510.33,0.0
ORD-11195,2023-03-22,Office Supplies,Supplies,East,Corporate,30.97,3,7.08,0.3
ORD-10016,2023-03-22,Office Supplies,Storage,East,Consumer,267.43,7,57.11,0.0
ORD-12002,2023-03-22,Furniture,Bookcases,North,Corporate,238.93,1,73.02,0.0
ORD-11358,2023-03-22,Technology,Phones,East,Corporate,1003.38,3,202.54,0.0
ORD-11186,2023-03-22,Furniture,Furnishings,East,Consumer,1796.36,7,124.1,0.3
ORD-11190,2023-03-23,Furniture,Tables,East,Consumer,240.21,2,38.39,0.0
ORD-11370,2023-03-23,Office Supplies,Paper,East,Home Office,278.84,4,24.52,0.0
ORD-10631,2023-03-23,Office Supplies,Supplies,West,Consumer,44.46,1,7.73,0.0
ORD-10226,2023-03-23,Office Supplies,Binders,East,Home Office,67.26,1,8.25,0.1
ORD-11208,2023-03-24,Office Supplies,Paper,East,Consumer,162.13,5,54.53,0.0
ORD-11632,2023-03-24,Office Supplies,Storage,East,Corporate,292.4,4,86.04,0.1
ORD-10246,2023-03-24,Technology,Machines,West,Consumer,2336.47,4,572.21,0.0
ORD-12152,2023-03-25,Office Supplies,Binders,West,Corporate,231.29,3,41.32,0.3
ORD-10775,2023-03-25,Technology,Phones,West,Corporate,3205.07,6,826.63,0.0
ORD-11126,2023-03-25,Furniture,Furnishings,South,Corporate,842.08,5,59.36,0.1
ORD-10263,2023-03-25,Technology,Phones,North,Home Office,1463.68,3,270.3,0.1
ORD-11744,2023-03-25,Office Supplies,Paper,East,Corporate,45.03,7,11.47,0.0
ORD-10093,2023-03-25,Furniture,Chairs,East,Consumer,1044.23,7,157.96,0.3
ORD-10627,2023-03-25,Technology,Phones,West,Consumer,242.44,1,48.28,0.2
ORD-10585,2023-03-25,Technology,Accessories,West,Home Office,2205.62,7,360.37,0.1
ORD-10767,2023-03-26,Technology,Accessories,East,Consumer,381.85,2,14.04,0.0
ORD-12154,2023-03-26,Furniture,Bookcases,East,Consumer,142.14,1,7.15,0.2
ORD-10071,2023-03-27,Furniture,Bookcases,East,Home Office,573.78,4,-1.35,0.1
ORD-10916,2023-03-27,Office Supplies,Paper,North,Consumer,283.57,6,6.26,0.1
ORD-10143,2023-03-27,Technology,Copiers,North,Consumer,951.43,2,306.37,0.0
ORD-10992,2023-03-28,Office Supplies,Binders,West,Corporate,221.46,3,55.26,0.0
ORD-11793,2023-03-28,Technology,Copiers,East,Consumer,796.82,4,192.85,0.1
ORD-10842,2023-03-28,Furniture,Furnishings,West,Corporate,198.26,1,25.05,0.1
ORD-10418,2023-03-28,Technology,Copiers,South,Home Office,515.83,2,72.94,0.0
ORD-11558,2023-03-28,Office Supplies,Paper,East,Home Office,170.1,5,30.81,0.3
ORD-11099,2023-03-28,Technology,Copiers,North,Consumer,772.01,3,70.77,0.15
ORD-12069,2023-03-29,Office Supplies,Paper,East,Corporate,187.62,4,50.27,0.0
ORD-10328,2023-03-29,Office Supplies,Art,East,Home Office,38.52,2,6.3,0.15
ORD-10352,2023-03-29,Furniture,Tables,South,Consumer,470.94,2,-2.72,0.1
ORD-11568,2023-03-29,Furniture,Chairs,East,Home Office,787.52,6,-43.77,0.15
ORD-11481,2023-03-30,Technology,Copiers,East,Consumer,1973.52,6,38.65,0.1
ORD-11021,2023-03-30,Technology,Phones,East,Consumer,647.53,2,172.14,0.2
ORD-12143,2023-03-30,Office Supplies,Binders,West,Consumer,80.57,2,6.79,0.1
ORD-10396,2023-03-30,Furniture,Furnishings,West,Consumer,3102.87,7,534.07,0.0
ORD-11603,2023-03-30,Furniture,Bookcases,East,Consumer,1146.39,7,-78.61,0.15
ORD-11553,2023-03-31,Office Supplies,Storage,East,Corporate,97.37,4,24.52,0.15
ORD-10858,2023-03-31,Technology,Phones,North,Consumer,1503.54,5,304.25,0.15
ORD-11580,2023-03-31,Technology,Copiers,North,Consumer,2218.6,5,607.76,0.0
ORD-11315,2023-03-31,Office Supplies,Supplies,East,Consumer,306.22,7,74.39,0.1
ORD-12131,2023-04-01,Office Supplies,Storage,North,Consumer,65.76,5,5.04,0.15
ORD-12013,2023-04-01,Office Supplies,Supplies,South,Consumer,25.0,1,9.73,0.0
ORD-11760,2023-04-01,Office Supplies,Art,North,Consumer,483.61,4,52.3,0.2
ORD-11952,2023-04-01,Technology,Accessories,East,Corporate,1926.41,3,862.45,0.0
ORD-11616,2023-04-02,Office Supplies,Art,East,Corporate,515.76,7,181.91,0.0
ORD-11217,2023-04-02,Furniture,Furnishings,South,Consumer,1734.14,5,1.06,0.1
ORD-11429,2023-04-02,Office Supplies,Binders,North,Consumer,227.64,6,16.35,0.2
ORD-10557,2023-04-03,Technology,Phones,East,Corporate,393.94,1,134.74,0.1
ORD-10314,2023-04-03,Office Supplies,Storage,South,Corporate,143.1,2,32.27,0.2
ORD-11791,2023-04-03,Office Supplies,Art,North,Home Office,98.16,5,15.41,0.15
ORD-11105,2023-04-04,Technology,Machines,West,Corporate,852.6,4,283.16,0.1
ORD-12007,2023-04-04,Office Supplies,Supplies,East,Consumer,250.84,6,65.42,0.2
ORD-12123,2023-04-05,Technology,Copiers,North,Corporate,441.04,2,-8.66,0.0
ORD-10717,2023-04-06,Furniture,Chairs,West,Consumer,209.69,2,7.64,0.2
ORD-10460,2023-04-06,Technology,Phones,South,Corporate,1615.06,3,515.66,0.0
ORD-10291,2023-04-06,Office Supplies,Binders,West,Corporate,63.38,1,15.15,0.0
ORD-10526,2023-04-07,Furniture,Tables,East,Corporate,373.67,3,80.74,0.0
ORD-10115,2023-04-08,Office Supplies,Storage,South,Consumer,31.69,7,11.09,0.0
ORD-11638,2023-04-08,Office Supplies,Supplies,South,Consumer,74.24,2,18.06,0.0
ORD-12197,2023-04-10,Office Supplies,Art,North,Consumer,41.36,7,4.9,0.1
ORD-11525,2023-04-10,Office Supplies,Supplies,South,Consumer,226.69,6,18.09,0.0
ORD-11858,2023-04-10,Office Supplies,Supplies,West,Consumer,46.31,1,4.24,0.15
ORD-11735,2023-04-10,Office Supplies,Art,East,Consumer,105.3,3,23.92,0.0
ORD-11830,2023-04-10,Technology,Phones,West,Corporate,2253.65,6,39.39,0.15
ORD-10667,2023-04-11,Furniture,Chairs,North,Home Office,407.3,6,127.01,0.15
ORD-10142,2023-04-12,Office Supplies,Storage,East,Corporate,39.38,1,12.36,0.0
ORD-10363,2023-04-13,Technology,Accessories,North,Corporate,298.97,1,44.21,0.15
ORD-10708,2023-04-13,Technology,Phones,West,Corporate,533.35,2,87.66,0.1
ORD-10033,2023-04-13,Technology,Copiers,South,Home Office,3643.18,7,574.34,0.15
ORD-10658,2023-04-14,Office Supplies,Storage,North,Consumer,231.68,5,32.38,0.0
ORD-10793,2023-04-14,Furniture,Tables,North,Home Office,1346.67,7,-52.16,0.0
ORD-10670,2023-04-14,Office Supplies,Art,North,Consumer,111.62,4,23.06,0.2
ORD-10632,2023-04-15,Office Supplies,Supplies,South,Home Office,369.25,6,45.02,0.1
ORD-10758,2023-04-15,Office Supplies,Supplies,South,Home Office,33.21,4,12.06,0.0
ORD-10899,2023-04-15,Office Supplies,Storage,East,Home Office,86.18,3,21.44,0.1
ORD-10262,2023-04-15,Office Supplies,Binders,North,Consumer,174.84,6,38.27,0.1
